,access,bridge,from,geometry,highway,key,lanes,length,maxspeed,name,oneway,osmid,service,time,to
4361,,,42498587,"LINESTRING (590077.9538670101 4505578.007087017, 590160.4179289393 4505697.025609896)",residential,1,,144.843035701,,Ditmars Street,False,5678373,,1.93124047602,42498583
4362,,,42482207,"LINESTRING (588642.0801568051 4506033.787965261, 588522.3164600794 4506015.372159801)",residential,0,,120.909357809,,Wallabout Street,False,40117455,,1.61212477079,42475320
4363,,,42475320,"LINESTRING (588642.0801568051 4506033.787965261, 588522.3164600794 4506015.372159801)",residential,1,,120.909357809,,Wallabout Street,False,40117455,,1.61212477079,42482207
4364,,,42482207,"LINESTRING (588642.0801568051 4506033.787965261, 588596.5029734048 4506086.201427785)",residential,0,,69.4590078598,,Marcy Avenue,False,5677037,,0.926120104797,42475322
4365,,,42475322,"LINESTRING (588642.0801568051 4506033.787965261, 588596.5029734048 4506086.201427785)",residential,1,,69.4590078598,,Marcy Avenue,False,5677037,,0.926120104797,42482207
4366,,,42482207,"LINESTRING (588642.0801568051 4506033.787965261, 588650.5739399549 4506023.009221324)",residential,0,,13.725969505,,Marcy Avenue,False,5677037,,0.183012926734,42482212
4367,,,42482212,"LINESTRING (588642.0801568051 4506033.787965261, 588650.5739399549 4506023.009221324)",residential,1,,13.725969505,,Marcy Avenue,False,5677037,,0.183012926734,42482207
4368,,,42474017,"LINESTRING (590924.2305910493 4507316.182007168, 590898.1366544872 4507391.136225154)",residential,0,,79.4641891512,,Scott Avenue,False,203319784,,1.05952252202,42474020
4369,,,42474020,"LINESTRING (590924.2305910493 4507316.182007168, 590898.1366544872 4507391.136225154)",residential,1,,79.4641891512,,Scott Avenue,False,203319784,,1.05952252202,42474017
4370,,,42474031,"LINESTRING (590839.9696862192 4507557.558621293, 590869.625100705 4507470.390834321, 590898.1366544872 4507391.136225154)",residential,0,,176.518049518,,Scott Avenue,False,203319784,,2.35357399357,42474020
4371,,,42478001,"LINESTRING (587857.2049089565 4506797.39143255, 587864.2759427549 4506856.649979698, 587878.0228363929 4506887.232856434)",residential,0,,93.3342992985,,Havemeyer Street,False,46141631,,1.24445732398,42474673
4372,,,42482217,"LINESTRING (588712.5354231242 4505879.420477937, 588726.6930513446 4505797.766224808)",residential,0,,82.999307004,,Marcy Avenue,False,5677037,,1.10665742672,42482220
4373,,,42482220,"LINESTRING (588712.5354231242 4505879.420477937, 588726.6930513446 4505797.766224808)",residential,1,,82.999307004,,Marcy Avenue,False,5677037,,1.10665742672,42482217
4374,,,42482217,"LINESTRING (588712.5354231242 4505879.420477937, 588699.1291418603 4505961.86089566)",residential,0,,83.6521231206,,Marcy Avenue,False,5677037,,1.11536164161,42482215
4375,,,42482215,"LINESTRING (588712.5354231242 4505879.420477937, 588699.1291418603 4505961.86089566)",residential,1,,83.6521231206,,Marcy Avenue,False,5677037,,1.11536164161,42482217
4376,,,42482222,"LINESTRING (588752.9668273114 4505635.654641789, 588766.0967921786 4505555.209428951)",residential,0,,81.635308699,,Marcy Avenue,False,5677037,,1.08847078265,42482223
4377,,,42482223,"LINESTRING (588752.9668273114 4505635.654641789, 588766.0967921786 4505555.209428951)",residential,1,,81.635308699,,Marcy Avenue,False,5677037,,1.08847078265,42482222
4378,,,42482227,"LINESTRING (588766.0967921786 4505555.209428951, 588779.672024481 4505472.882187573)",residential,0,,83.5674499665,,Marcy Avenue,False,5677037,,1.11423266622,42482223
4379,,,42482223,"LINESTRING (588766.0967921786 4505555.209428951, 588779.672024481 4505472.882187573)",residential,1,,83.5674499665,,Marcy Avenue,False,5677037,,1.11423266622,42482227
4380,,,42482227,"LINESTRING (588779.672024481 4505472.882187573, 588793.0758849062 4505390.774968301)",residential,0,,83.3223793272,,Marcy Avenue,False,5677037,,1.1109650577,42482231
4381,,,42482231,"LINESTRING (588779.672024481 4505472.882187573, 588793.0758849062 4505390.774968301)",residential,1,,83.3223793272,,Marcy Avenue,False,5677037,,1.1109650577,42482227
4382,,,42482231,"LINESTRING (588793.0758849062 4505390.774968301, 588806.3835629572 4505309.665825867)",residential,0,,82.3202424695,,Marcy Avenue,False,5677037,,1.09760323293,42482234
4383,,,42482234,"LINESTRING (588793.0758849062 4505390.774968301, 588806.3835629572 4505309.665825867)",residential,1,,82.3202424695,,Marcy Avenue,False,5677037,,1.09760323293,42482231
4384,,,42474042,"LINESTRING (589794.8629729792 4506961.697181078, 589784.0339772487 4507039.726338193)",residential,0,,78.9000831154,,Waterbury Street,False,5676308,,1.05200110821,42474044
4385,,,42474044,"LINESTRING (589794.8629729792 4506961.697181078, 589784.0339772487 4507039.726338193)",residential,1,,78.9000831154,,Waterbury Street,False,5676308,,1.05200110821,42474042
4386,,,42809915,"LINESTRING (591157.2987843627 4507550.659661353, 591253.3129342715 4507542.136623393, 591267.5763804227 4507541.179647287, 591584.6159962893 4507518.87414732)",secondary,0,,427.560752497,,Metropolitan Avenue,False,481614658,,5.7008100333,42843568
4387,,,42809915,"LINESTRING (591157.2987843627 4507550.659661353, 591220.7097579936 4507496.315843955, 591225.145456352 4507492.839833544, 591232.2142662188 4507487.51990578, 591346.8776839394 4507401.17771582)",residential,0,,241.359324784,,Woodward Avenue,False,5701323,,3.21812433045,42809921
4388,,,42474048,"LINESTRING (589784.0339772487 4507039.726338193, 589772.5286913504 4507119.901178362)",residential,0,,81.1224239228,,Waterbury Street,False,5676308,,1.08163231897,42474044
4389,,,42474044,"LINESTRING (589784.0339772487 4507039.726338193, 589772.5286913504 4507119.901178362)",residential,1,,81.1224239228,,Waterbury Street,False,5676308,,1.08163231897,42474048
4390,,,42482240,"LINESTRING (588846.3107877637 4505066.116561845, 588833.0010142269 4505147.336622627)",residential,0,,82.4302549605,,Marcy Avenue,False,5677037,,1.09907006614,42482236
4391,,,42482236,"LINESTRING (588846.3107877637 4505066.116561845, 588833.0010142269 4505147.336622627)",residential,1,,82.4302549605,,Marcy Avenue,False,5677037,,1.09907006614,42482240
4392,,,42482240,"LINESTRING (588846.3107877637 4505066.116561845, 588859.5363219853 4504984.895519146)",residential,0,,82.4177348406,,Marcy Avenue,False,5677037,,1.09890313121,42482246
4393,,,42482246,"LINESTRING (588846.3107877637 4505066.116561845, 588859.5363219853 4504984.895519146)",residential,1,,82.4177348406,,Marcy Avenue,False,5677037,,1.09890313121,42482240
4394,,,42809921,"LINESTRING (591346.8776839394 4507401.17771582, 591437.00262916 4507332.587228767)",residential,0,,113.168769246,,Woodward Avenue,False,221726017,,1.50891692328,42809924
4395,,,42809924,"LINESTRING (591346.8776839394 4507401.17771582, 591437.00262916 4507332.587228767)",residential,1,,113.168769246,,Woodward Avenue,False,221726017,,1.50891692328,42809921
4396,,,42474048,"LINESTRING (589762.4068133974 4507158.37031944, 589772.5286913504 4507119.901178362)",residential,0,,39.8339841796,,Waterbury Street,False,273130354,,0.531119789061,42474050
4397,,,42474050,"LINESTRING (589762.4068133974 4507158.37031944, 589772.5286913504 4507119.901178362)",residential,1,,39.8339841796,,Waterbury Street,False,273130354,,0.531119789061,42474048
4398,,,42474050,"LINESTRING (589762.4068133974 4507158.37031944, 589732.2856833178 4507238.941749778)",residential,0,,86.1191533255,,Waterbury Street,False,273130354,,1.14825537767,42474051
