,geometry,highway,lat,lon,osmid
403,POINT (591182.275733873 4505525.20909321),,40.695587,-73.920767,42486759
404,POINT (591309.8409057028 4505431.741097288),,40.694731,-73.919271,42486764
405,POINT (591374.5527379393 4505385.130352716),,40.694304,-73.918512,42486769
406,POINT (591438.589452865 4505338.511836434),,40.693877,-73.917761,42486774
407,POINT (591502.712836087 4505291.783897335),,40.693449,-73.917009,42486778
408,POINT (591566.8356608984 4505245.167508599),,40.693022,-73.916257,42486781
409,POINT (591695.0019853098 4505151.713305726),,40.692166,-73.914754,42486785
410,POINT (591823.2560454559 4505058.262320095),,40.69131,-73.91325,42486789
411,POINT (590073.5464419287 4506755.685464248),,40.706792,-73.933711,42487173
412,POINT (590210.4693353567 4506786.103804534),,40.707051,-73.932086,42487175
413,POINT (590261.6079377371 4506798.050055969),,40.707153,-73.931479,42487177
414,POINT (590484.1321793718 4506847.834117151),,40.707577,-73.928838,42487180
415,POINT (590621.1282318764 4506878.927164946),,40.707842,-73.927212,42487182
416,POINT (590758.8044249733 4506909.587000925),,40.708103,-73.925578,42487186
417,POINT (590891.4996985758 4506939.85533732),,40.708361,-73.924003,42487188
418,POINT (588219.9041254023 4508414.229459777),,40.7219314,-73.9554174,42488169
419,POINT (588214.1047340825 4506734.512833721),,40.7068025,-73.9557225,42488270
420,POINT (588226.8607921021 4506819.907427623),traffic_signals,40.7075703,-73.9555595,42488278
421,POINT (588263.1530623884 4506897.577287218),,40.708266,-73.955119,42488286
422,POINT (588296.1035932381 4506968.468528627),,40.708901,-73.954719,42488291
423,POINT (588367.2014126686 4507120.638506657),,40.710264,-73.953856,42488298
424,POINT (588389.7499954002 4507170.978226689),,40.710715,-73.953582,42488301
425,POINT (588399.1091070793 4507189.541665614),,40.7108812,-73.9534686,42488303
426,POINT (588427.0851730979 4507250.160255785),,40.7114242,-73.9531289,42488306
427,POINT (588493.8049943975 4507392.820363544),,40.712702,-73.952319,42488310
428,POINT (588555.3359562038 4507518.432777038),,40.7138268,-73.9515729,42488313
429,POINT (587859.7521835112 4506422.399917878),,40.7040291,-73.9599604,42488330
430,POINT (587949.7129807196 4506505.499796163),traffic_signals,40.704768,-73.958884,42488343
431,POINT (587886.464983706 4507551.023895937),,40.714192,-73.959486,42489014
432,POINT (590959.3364090161 4504577.91108713),,40.6870792,-73.9235426,42489071
433,POINT (591360.767948213 4504643.613483829),,40.6876266,-73.9187831,42489078
434,POINT (591337.070578307 4504660.797010216),,40.687784,-73.919061,42489083
435,POINT (591454.4230834423 4504821.44892437),,40.689218,-73.917649,42489085
436,POINT (591574.9264959761 4504986.582680725),,40.690692,-73.916199,42489088
437,POINT (591815.2396504502 4505316.959099912),,40.693641,-73.913307,42489091
438,POINT (589300.3518825792 4507654.629102971),,40.7149731,-73.9427345,42489467
439,POINT (589348.9590925444 4507664.529223577),,40.715057,-73.9421577,42489468
440,POINT (589434.6029085753 4507719.107655017),,40.7155393,-73.9411361,42489470
